"File 1","Confidence","Start Line","End Line","File 2","Confidence","Start Line","End Line"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","917","938","./data/milroc_5480231.html","93","954","975"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","748","760","./data/milroc_5480231.html","93","789","801"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","205","209","./data/milroc_5480231.html","93","205","209"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1021","1028","./data/milroc_5480231.html","93","1052","1059"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1","5","./data/milroc_5480231.html","93","1","5"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","214","215","./data/milroc_5480231.html","93","215","216"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","405","707","./data/milroc_5480231.html","93","406","708"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","231","405","./data/milroc_5480231.html","93","232","406"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","6","203","./data/milroc_5480231.html","93","6","202"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","765","882","./data/milroc_5480231.html","93","802","919"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","968","1020","./data/milroc_5480231.html","93","999","1051"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1028","1074","./data/milroc_5480231.html","93","1059","1105"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","945","968","./data/milroc_5480231.html","93","976","999"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","883","916","./data/milroc_5480231.html","93","920","953"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","710","745","./data/milroc_5480231.html","93","752","787"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","215","231","./data/milroc_5480231.html","93","216","232"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","917","938","./data/milroc_5480231.html","93","954","975"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","748","760","./data/milroc_5480231.html","93","789","801"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","205","209","./data/milroc_5480231.html","93","205","209"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1021","1028","./data/milroc_5480231.html","93","1052","1059"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1","5","./data/milroc_5480231.html","93","1","5"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","214","215","./data/milroc_5480231.html","93","215","216"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","405","707","./data/milroc_5480231.html","93","406","708"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","231","405","./data/milroc_5480231.html","93","232","406"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","6","203","./data/milroc_5480231.html","93","6","202"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","765","882","./data/milroc_5480231.html","93","802","919"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","968","1020","./data/milroc_5480231.html","93","999","1051"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1028","1074","./data/milroc_5480231.html","93","1059","1105"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","945","968","./data/milroc_5480231.html","93","976","999"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","883","916","./data/milroc_5480231.html","93","920","953"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","710","745","./data/milroc_5480231.html","93","752","787"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","215","231","./data/milroc_5480231.html","93","216","232"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","917","938","./data/milroc_5480231.html","93","954","975"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","748","760","./data/milroc_5480231.html","93","789","801"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","205","209","./data/milroc_5480231.html","93","205","209"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1021","1028","./data/milroc_5480231.html","93","1052","1059"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1","5","./data/milroc_5480231.html","93","1","5"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","214","215","./data/milroc_5480231.html","93","215","216"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","405","707","./data/milroc_5480231.html","93","406","708"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","231","405","./data/milroc_5480231.html","93","232","406"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","6","203","./data/milroc_5480231.html","93","6","202"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","765","882","./data/milroc_5480231.html","93","802","919"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","968","1020","./data/milroc_5480231.html","93","999","1051"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1028","1074","./data/milroc_5480231.html","93","1059","1105"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","945","968","./data/milroc_5480231.html","93","976","999"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","883","916","./data/milroc_5480231.html","93","920","953"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","710","745","./data/milroc_5480231.html","93","752","787"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","215","231","./data/milroc_5480231.html","93","216","232"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","917","938","./data/milroc_5480231.html","93","954","975"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","748","760","./data/milroc_5480231.html","93","789","801"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","205","209","./data/milroc_5480231.html","93","205","209"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1021","1028","./data/milroc_5480231.html","93","1052","1059"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1","5","./data/milroc_5480231.html","93","1","5"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","214","215","./data/milroc_5480231.html","93","215","216"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","405","707","./data/milroc_5480231.html","93","406","708"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","231","405","./data/milroc_5480231.html","93","232","406"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","6","203","./data/milroc_5480231.html","93","6","202"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","765","882","./data/milroc_5480231.html","93","802","919"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","968","1020","./data/milroc_5480231.html","93","999","1051"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1028","1074","./data/milroc_5480231.html","93","1059","1105"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","945","968","./data/milroc_5480231.html","93","976","999"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","883","916","./data/milroc_5480231.html","93","920","953"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","710","745","./data/milroc_5480231.html","93","752","787"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","215","231","./data/milroc_5480231.html","93","216","232"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","917","938","./data/milroc_5480231.html","93","954","975"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","748","760","./data/milroc_5480231.html","93","789","801"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","205","209","./data/milroc_5480231.html","93","205","209"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1021","1028","./data/milroc_5480231.html","93","1052","1059"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1","5","./data/milroc_5480231.html","93","1","5"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","214","215","./data/milroc_5480231.html","93","215","216"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","405","707","./data/milroc_5480231.html","93","406","708"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","231","405","./data/milroc_5480231.html","93","232","406"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","6","203","./data/milroc_5480231.html","93","6","202"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","765","882","./data/milroc_5480231.html","93","802","919"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","968","1020","./data/milroc_5480231.html","93","999","1051"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1028","1074","./data/milroc_5480231.html","93","1059","1105"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","945","968","./data/milroc_5480231.html","93","976","999"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","883","916","./data/milroc_5480231.html","93","920","953"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","710","745","./data/milroc_5480231.html","93","752","787"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","215","231","./data/milroc_5480231.html","93","216","232"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","917","938","./data/milroc_5480231.html","93","954","975"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","748","760","./data/milroc_5480231.html","93","789","801"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","205","209","./data/milroc_5480231.html","93","205","209"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1021","1028","./data/milroc_5480231.html","93","1052","1059"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1","5","./data/milroc_5480231.html","93","1","5"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","214","215","./data/milroc_5480231.html","93","215","216"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","405","707","./data/milroc_5480231.html","93","406","708"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","231","405","./data/milroc_5480231.html","93","232","406"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","6","203","./data/milroc_5480231.html","93","6","202"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","765","882","./data/milroc_5480231.html","93","802","919"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","968","1020","./data/milroc_5480231.html","93","999","1051"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1028","1074","./data/milroc_5480231.html","93","1059","1105"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","945","968","./data/milroc_5480231.html","93","976","999"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","883","916","./data/milroc_5480231.html","93","920","953"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","710","745","./data/milroc_5480231.html","93","752","787"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","215","231","./data/milroc_5480231.html","93","216","232"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","917","938","./data/milroc_5480231.html","93","954","975"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","748","760","./data/milroc_5480231.html","93","789","801"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","205","209","./data/milroc_5480231.html","93","205","209"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1021","1028","./data/milroc_5480231.html","93","1052","1059"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1","5","./data/milroc_5480231.html","93","1","5"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","214","215","./data/milroc_5480231.html","93","215","216"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","405","707","./data/milroc_5480231.html","93","406","708"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","231","405","./data/milroc_5480231.html","93","232","406"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","6","203","./data/milroc_5480231.html","93","6","202"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","765","882","./data/milroc_5480231.html","93","802","919"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","968","1020","./data/milroc_5480231.html","93","999","1051"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","1028","1074","./data/milroc_5480231.html","93","1059","1105"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","945","968","./data/milroc_5480231.html","93","976","999"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","883","916","./data/milroc_5480231.html","93","920","953"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","710","745","./data/milroc_5480231.html","93","752","787"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","215","231","./data/milroc_5480231.html","93","216","232"
"./data/cool-Blue_04ebde07750d6fdd5d1a.html","97","917","938","./data/milroc_5480231.html","93","954","975"
